date,maxtemp,mintemp,weather_rain,weather_snow,weather_sun
20010112,4.3,0.5,0.0,,7.1
20010113,3.6,0.0,0.0,,6.0
20010114,1.6,-1.9,0.0,,6.4
20010115,1.6,-2.5,0.0,,6.8
20010116,-0.6,-2.6,0.0,,0.0
20010117,1.9,0.0,0.0,,0.0
20010118,4.6,0.3,0.0,,6.3
20010119,3.4,-0.6,0.0,,1.2
20010120,2.5,-0.5,0.0,,0.0
20010121,1.6,-1.3,0.0,,0.0
20010122,-0.6,-2.1,0.14,,0.0
20010123,-1.0,-1.2,0.72,,0.0
20010124,0.5,-0.4,0.98,,0.0
20010125,1.8,1.0,2.31,,0.0
20010126,2.3,1.9,0.8,,0.0
20010127,9.6,4.6,0.0,,0.9
20010128,8.0,5.4,0.0,,2.5
20010129,6.2,4.2,0.44,,0.0
20010130,5.4,3.2,1.96,,0.0
20010131,2.8,1.3,0.03,,0.0
20010201,3.9,1.4,0.0,,0.0
20010202,2.8,-1.3,0.0,,5.9
20010203,1.6,-1.1,0.0,,2.5
20010204,6.9,3.6,0.0,,1.2
20010205,10.1,5.8,0.15,,0.0
20010206,13.9,9.0,0.0,,3.6
20010207,15.0,9.8,0.0,,1.8
20010208,16.3,11.3,0.0,,3.3
20010209,15.3,11.5,0.0,,4.7
20010210,13.3,9.0,0.0,,3.8
20010211,10.9,5.6,0.0,,8.2
20010212,11.4,4.6,0.0,,7.8
20010213,10.1,5.9,0.0,,0.2
20010214,10.7,5.8,0.0,,7.0
20010215,9.0,4.5,0.0,,7.9
20010216,11.8,4.6,0.0,,7.6
20010217,11.1,4.9,0.0,,7.0
20010218,6.5,3.0,0.0,,3.9
20010219,4.9,2.8,0.0,,0.9
20010220,7.0,3.4,0.14,,0.7
20010221,6.9,4.3,0.03,,0.0
20010222,8.2,4.0,0.42,,3.3
20010223,4.5,2.1,0.0,,1.1
20010224,2.9,-0.3,0.0,,3.9
20010225,4.1,-0.6,0.0,,8.5
20010226,2.9,0.0,0.0,,2.1
20010227,4.5,0.1,0.0,,8.5
20010228,6.2,1.2,0.22,,5.0
20010301,4.2,1.0,0.4,,0.0
20010302,7.4,2.0,1.69,,2.9
20010303,4.8,3.2,1.1,,0.0
20010304,17.4,8.9,0.42,,0.8
20010305,10.8,7.3,0.0,,0.9
20010306,9.1,4.7,0.0,,3.6
20010307,12.0,5.7,0.0,,7.2
20010308,10.5,6.7,0.03,,1.4
20010309,13.2,9.2,0.0,,1.8
20010310,15.6,10.5,0.01,,3.9
20010311,18.0,11.6,0.15,,5.4
20010312,19.0,12.7,0.0,,6.9
20010313,13.9,10.4,0.54,,0.0
20010314,12.9,9.4,0.0,,7.4
20010315,12.5,9.5,0.19,,5.0
20010316,14.1,9.8,0.0,,2.1
20010317,18.7,12.6,0.47,,6.6
20010318,16.0,12.4,0.0,,5.8
20010319,16.4,10.2,0.1,,0.2
20010320,8.8,6.3,0.4,,8.7
20010321,7.2,1.7,0.36,,0.0
20010322,4.3,2.9,0.4,,0.0
20010323,12.8,8.8,0.11,,6.7
20010324,14.2,11.3,0.1,,1.7
20010325,17.1,12.0,0.19,,4.5
20010326,15.9,10.7,0.0,,7.7
20010327,7.6,4.2,0.0,,0.0
20010328,5.9,2.6,0.0,,1.0
20010329,8.6,5.0,0.0,,0.4
20010330,12.9,9.3,0.0,,2.8
20010331,15.9,11.9,0.0,,4.8
20010401,17.3,11.6,0.0,,7.2
20010402,19.3,13.3,0.0,,9.3
20010403,18.9,13.0,0.0,,9.4
20010404,21.2,14.1,0.0,,0.3
20010405,18.1,10.0,0.0,,0.0
20010406,15.2,10.9,0.0,,10.0
20010407,17.6,13.3,0.0,,3.1
20010408,16.6,12.1,0.86,,0.0
20010409,10.6,6.8,0.39,,0.0
20010410,9.4,8.0,0.3,,0.0
20010411,14.7,11.2,0.01,,0.0
20010412,16.3,12.0,0.0,,2.8
20010413,11.4,5.7,0.0,,10.4
20010414,7.0,3.9,0.0,,9.7
20010415,9.6,5.9,0.0,,10.1
20010416,15.7,9.5,0.02,,7.1
20010417,11.8,8.6,0.25,,0.0
20010418,14.8,9.9,0.0,,9.2
20010419,15.7,11.5,0.04,,4.2
20010420,14.8,11.6,0.66,,1.7
20010421,15.5,11.7,0.0,,0.6
20010422,12.6,8.9,0.0,,5.9
20010423,12.9,9.1,0.0,,1.2
20010424,17.0,12.5,0.0,,7.6
20010425,20.8,15.0,0.0,,11.2
20010426,15.8,13.0,0.0,,4.7
20010427,19.5,14.0,0.0,,12.5
20010428,21.8,15.8,0.0,,9.6
20010429,24.2,18.1,0.0,,11.8
20010430,24.8,19.3,0.0,,8.8
20010501,25.4,19.7,0.0,,10.8
20010502,27.6,20.1,0.0,,11.9
20010503,27.6,21.2,0.0,,11.6
20010504,27.4,21.3,0.19,,11.0
20010505,25.0,20.2,0.0,,9.3
20010506,25.4,20.0,0.79,,6.3
20010507,21.5,17.5,0.73,,4.9
20010508,22.5,17.9,0.14,,5.6
20010509,22.5,18.5,0.0,,9.9
20010510,22.6,18.1,0.0,,9.9
20010511,21.0,16.9,0.0,,5.9
20010512,19.2,14.7,0.0,,2.6
20010513,18.4,13.9,0.0,,9.0
20010514,20.6,16.2,0.0,,11.8
20010515,22.8,17.7,0.0,,7.3
20010516,25.5,19.8,0.0,,9.3
20010517,27.2,21.4,0.0,,10.7
20010518,28.2,20.7,0.0,,7.8
20010519,19.4,14.4,0.0,,10.4
20010520,21.3,16.2,0.0,,12.0
20010521,24.3,18.0,0.0,,7.9
20010522,21.2,17.0,0.0,,4.8
20010523,21.7,15.5,0.0,,12.2
20010524,25.5,17.9,0.0,,13.7
20010525,25.7,19.4,0.0,,8.5
20010526,23.8,19.4,0.0,,11.9
20010527,27.2,21.2,0.0,,11.7
20010528,25.5,21.0,0.0,,2.0
20010529,28.4,23.6,0.04,,10.3
20010530,26.4,20.2,0.0,,12.8
20010531,24.4,19.7,0.04,,6.6
20010601,22.1,15.3,0.0,,8.0
20010602,20.4,16.0,0.0,,10.0
20010603,19.0,14.1,2.49,,2.0
20010604,15.2,11.3,0.0,,5.3
20010605,18.3,13.8,0.0,,11.2
20010606,22.1,16.7,0.0,,7.9
20010607,24.0,19.4,0.0,,13.1
20010608,27.1,21.8,0.0,,11.7
20010609,24.8,20.6,0.0,,8.8
20010610,28.1,22.4,0.0,,6.3
20010611,26.3,15.7,0.0,,3.7
20010612,21.1,15.7,0.0,,12.3
20010613,25.0,18.6,0.0,,11.3
20010614,22.8,17.3,0.82,,0.2
20010615,26.1,20.3,0.0,,13.1
20010616,27.7,21.9,0.0,,6.8
20010617,25.6,18.5,0.09,,1.8
20010618,22.2,17.0,3.85,,1.6
20010619,17.7,15.4,0.31,,0.0
20010620,18.4,16.4,0.15,,0.2
20010621,24.3,18.8,0.0,,4.4
20010622,24.3,18.5,0.32,,7.0
20010623,21.2,17.1,0.0,,12.5
20010624,23.1,19.3,0.0,,7.9
20010625,24.7,20.5,0.0,,13.7
20010626,26.1,21.5,0.0,,13.9
20010627,29.4,23.3,0.0,,13.5
20010628,30.8,23.6,0.03,,8.7
20010629,25.1,21.3,0.0,,1.0
20010630,28.2,22.5,0.0,,11.1
20010701,25.8,20.1,0.11,,6.7
20010702,21.8,17.7,0.02,,0.2
20010703,21.0,16.6,0.0,,6.4
20010704,22.5,17.1,0.79,,6.8
20010705,25.3,18.9,0.01,,8.2
20010706,28.3,22.3,0.0,,12.5
20010707,29.9,24.9,0.0,,11.3
20010708,28.4,22.9,0.0,,12.2
20010709,26.4,22.5,0.0,,10.0
20010710,29.0,24.0,0.0,,10.8
20010711,31.0,25.6,0.0,,12.0
20010712,28.8,20.9,0.0,,3.8
20010713,29.7,23.7,0.0,,12.0
20010714,32.7,27.2,0.0,,13.0
20010715,34.9,28.9,0.0,,10.5
20010716,35.6,28.6,0.18,,9.0
